color,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,language,content_rating,title_year,actor_2_facebook_likes,aspect_ratio,inf_adj_budget,inf_adj_gross,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Year,GDP Growth Rate
Color,178.0,0.0,855.0,1000.0,4834,0.0,English,PG-13,2009.0,936.0,1.78,285909689.2377538,917451436.1994294,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2009,-2.5
Color,150.0,0.0,464.0,894.0,3218,0.0,English,PG-13,2009.0,581.0,2.35,241273999.35675427,485053254.01575947,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,-2.5
Color,118.0,368.0,988.0,23000.0,27468,0.0,English,PG-13,2009.0,3000.0,2.35,241273999.35675427,151182291.61605224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,-2.5
Color,158.0,776.0,310.0,1000.0,2144,0.0,English,PG-13,2009.0,468.0,2.35,241273999.35675427,200392734.3695353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,-2.5
Color,96.0,0.0,10000.0,18000.0,48878,0.0,English,PG,2009.0,14000.0,2.35,241273999.35675427,166298219.86816257,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2009,-2.5
Color,96.0,0.0,262.0,1000.0,2635,1.0,English,PG,2009.0,848.0,1.85,211114749.43716002,353441746.0294308,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,-2.5
Color,94.0,11.0,459.0,1000.0,2579,2.0,English,PG,2009.0,973.0,2.35,211114749.43716002,239261928.61747855,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2009,-2.5
Color,118.0,208.0,570.0,23000.0,26683,4.0,English,PG-13,2009.0,2000.0,2.35,211114749.43716002,181157723.3201266,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009,-2.5
Color,105.0,189.0,1000.0,49000.0,54039,2.0,English,PG,2009.0,3000.0,2.35,180955499.51756573,213821507.13271368,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2009,-2.5
Color,119.0,151.0,2000.0,20000.0,40054,0.0,English,PG-13,2009.0,16000.0,2.35,180955499.51756573,217005473.43337512,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2009,-2.5
